time_s,angle_deg
5.825,29.689
5.872,22.199
5.928,20.630
5.980,20.426
6.036,23.866
6.092,23.961
6.144,26.529
6.200,26.417
6.256,24.928
6.308,24.901
6.364,25.022
6.420,26.227
6.476,25.425
6.528,26.384
6.584,24.890
6.640,22.786
6.692,21.716
6.748,18.927
6.804,15.948
6.856,12.888
6.912,6.441
6.968,3.451
7.024,3.308
7.076,3.512
7.132,3.845
7.188,4.087
7.240,4.059
7.296,3.647
7.352,4.879
7.404,4.342
7.460,4.201
7.516,4.567
7.572,3.693
7.624,3.934
7.680,4.210
7.736,4.431
7.788,4.701
7.844,4.811
7.900,4.795
7.952,3.957
8.008,5.154
8.064,5.850
8.120,4.214
8.172,4.317
8.228,3.965
8.284,4.080
8.336,4.355
8.392,9.569
8.448,19.328
8.500,25.254
8.556,30.040
8.612,32.487
8.668,35.374
8.720,38.494
8.776,39.183
8.832,38.930
8.884,40.304
8.940,40.773
8.996,39.842
9.048,40.920
9.104,40.567
9.160,42.253
9.216,40.776
9.268,41.858
9.324,41.617
9.380,40.112
9.432,41.267
9.488,39.871
9.544,40.794
9.596,41.038
9.652,40.678
9.708,41.678
9.764,41.957
9.816,41.080
9.872,41.329
9.928,40.472
9.980,39.081
10.036,40.845
10.092,40.925
10.144,40.682
10.200,40.253
10.256,40.168
10.312,40.521
10.364,40.403
10.420,39.895
10.476,40.850
10.528,40.401
10.584,40.030
10.640,40.152
10.692,40.009
10.748,40.461
10.804,40.722
10.860,40.536
10.912,38.818
10.968,39.248
11.024,40.819
11.076,39.443
13.497,20.549
13.544,15.953
13.597,14.761
13.652,8.963
13.711,6.802
13.764,5.863
13.816,5.904
13.872,7.000
13.928,8.718
13.980,9.325
14.036,8.016
14.092,7.158
14.144,6.318
14.200,9.123
14.256,14.321
14.312,16.593
14.364,23.218
14.420,24.344
14.476,25.151
14.528,24.784
14.584,27.059
14.640,27.036
14.692,27.595
14.748,30.806
14.804,29.806
14.860,31.535
14.912,33.784
14.968,29.899
15.024,33.233
15.076,32.050
15.132,33.235
15.188,32.119
15.240,33.001
15.296,32.011
15.352,33.029
15.408,31.764
15.460,33.686
15.516,33.302
15.572,32.781
15.624,31.667
15.680,33.013
15.736,28.679
15.788,20.256
15.844,9.340
15.900,1.781
15.956,2.173
16.008,2.974
16.064,3.222
16.120,5.251
16.172,5.013
16.228,3.596
16.284,4.862
16.336,4.744
16.392,4.757
16.448,4.664
16.504,4.050
16.556,4.893
16.612,4.511
16.668,4.747
16.720,4.970
16.776,5.285
16.832,5.115
16.884,4.779
16.940,5.833
16.996,5.557
17.052,5.083
17.104,5.497
17.160,5.599
17.216,5.283
17.268,4.288
17.324,5.636
17.380,5.491
17.432,4.668
17.488,8.917
17.544,19.577
17.600,27.776
17.652,32.296
17.708,34.731
17.764,34.467
17.816,35.840
17.872,35.707
17.928,36.110
17.980,37.121
18.036,36.177
18.092,35.398
18.148,35.829
18.200,35.843
18.256,35.699
18.312,36.343
18.364,37.155
18.420,35.998
18.476,37.852
18.528,37.978
18.584,36.259
18.640,37.149
18.696,36.018
18.748,38.595
18.804,37.956
18.860,38.946
18.912,37.131
18.968,37.739
19.024,35.871
19.076,36.986
19.132,36.769
19.188,36.978
19.244,36.306
19.296,36.156
19.352,35.538
19.408,35.154
19.460,33.510
19.516,34.606
19.572,36.390
19.624,34.514
19.680,34.926
19.736,35.189
19.792,34.872
19.844,33.584
19.900,34.077
19.956,31.774
20.008,33.849
20.064,33.856
20.120,33.851
20.172,32.424
20.228,32.589
20.284,33.012
20.340,31.975
20.392,32.764
20.448,31.792
20.504,30.187
20.556,27.706
20.612,18.282
20.668,4.320
20.720,2.323
20.776,5.153
20.832,4.666
20.888,4.769
20.940,4.181
20.996,5.256
21.052,5.536
21.104,5.135
21.160,5.653
21.216,4.546
21.268,5.180
21.324,4.727
21.380,6.830
21.436,23.094
21.488,30.415
21.544,33.573
21.600,36.207
21.653,34.862
21.708,36.218
21.764,35.744
21.816,35.514
21.872,34.260
21.928,32.861
21.984,33.627
22.036,31.466
22.092,20.422
22.148,1.568
22.200,3.612
22.256,5.128
22.312,5.296
22.364,4.771
22.420,4.926
22.476,4.786
22.532,4.959
22.584,3.830
22.640,15.293
22.696,26.811
22.748,30.084
22.804,32.128
22.860,33.828
22.912,36.465
22.968,36.442
23.024,35.098
23.080,35.487
23.132,36.597
23.188,36.375
23.244,36.665
23.296,36.237
23.352,35.827
23.408,36.260
23.460,35.935
23.516,35.539
23.572,32.491
23.628,31.442
23.680,31.816
23.736,32.758
23.792,33.329
23.844,32.040
23.900,30.335
23.956,30.903
24.008,18.649
24.064,3.217
24.120,5.113
24.176,3.539
24.228,4.482
24.284,3.783
24.340,4.879
24.392,14.904
24.448,28.886
24.504,32.711
24.556,33.898
24.612,35.482
24.668,36.216
24.724,37.198
24.776,36.943
24.832,37.312
24.888,37.073
24.940,36.610
24.996,36.519
25.052,36.972
25.104,37.203
25.160,35.932
25.216,36.309
25.272,36.488
25.324,35.406
25.380,34.892
25.436,35.895
25.488,36.393
25.544,34.276
25.600,34.547
25.652,35.447
25.708,34.882
25.764,33.930
25.820,34.537
25.872,34.440
25.928,34.496
25.984,34.072
26.051,33.720
26.100,33.067
26.148,33.310
26.200,33.309
26.256,33.241
26.312,33.304
26.368,32.557
26.420,34.148
26.476,31.944
26.532,32.892
26.584,31.947
26.640,31.852
26.696,31.191
26.748,32.927
26.804,32.986
26.860,33.243
26.916,31.619
26.968,26.428
27.024,20.164
27.080,4.594
27.149,6.007
27.188,6.161
27.244,4.514
27.296,6.231
27.352,6.455
27.408,6.704
27.464,7.789
27.516,7.164
27.572,9.014
